iter	Passed	Remaining
404	6717	9868
405	6731	9848
406	6756	9844
407	6770	9823
408	6784	9802
409	6798	9783
410	6811	9761
411	6824	9739
412	6837	9718
413	6851	9698
414	6860	9670
415	6872	9648
416	6885	9625
417	6899	9606
418	6912	9585
419	6926	9565
420	6940	9545
421	6953	9524
422	6966	9502
423	6982	9485
424	6996	9466
425	7008	9443
426	7021	9422
427	7034	9400
428	7048	9381
429	7062	9361
430	7067	9330
431	7079	9308
432	7093	9289
433	7107	9269
434	7120	9248
435	7135	9229
436	7149	9210
437	7162	9190
438	7176	9170
439	7192	9154
440	7206	9134
441	7219	9114
442	7233	9095
443	7242	9069
444	7256	9050
445	7270	9030
446	7283	9011
447	7297	8991
448	7309	8970
449	7323	8950
450	7336	8931
451	7349	8910
452	7362	8889
453	7375	8869
454	7388	8849
455	7402	8830
456	7414	8810
457	7427	8789
458	7441	8770
459	7454	8750
460	7467	8731
461	7480	8710
462	7493	8690
463	7505	8669
464	7517	8648
465	7530	8629
466	7542	8608
467	7554	8587
468	7566	8567
469	7579	8546
470	7593	8528
471	7605	8507
472	7617	8487
473	7629	8466
474	7641	8446
475	7653	8425
476	7665	8405
477	7678	8385
478	7691	8366
479	7705	8347
480	7718	8327
481	7730	8307
482	7742	8287
483	7754	8267
484	7767	8248
485	7780	8228
486	7795	8211
487	7808	8193
488	7821	8173
489	7835	8155
490	7846	8134
491	7858	8114
492	7871	8095
493	7886	8078
494	7899	8059
495	7912	8039
496	7923	8019
497	7936	8000
498	7948	7979
499	7961	7961
500	7973	7941
501	7986	7922
502	7999	7904
503	8012	7884
504	8024	7866
505	8037	7846
506	8050	7827
507	8061	7807
508	8074	7788
509	8086	7769
510	8099	7751
511	8113	7733
512	8126	7714
513	8139	7695
514	8149	7674
515	8162	7656
516	8174	7636
517	8186	7617
518	8200	7600
519	8212	7581
520	8226	7563
521	8238	7544
522	8250	7525
523	8261	7505
524	8273	7485
525	8286	7467
526	8301	7450
527	8315	7433
528	8328	7414
529	8340	7396
530	8353	7378
531	8366	7360
532	8379	7341
533	8391	7322
534	8404	7304
535	8417	7286
536	8430	7268
537	8444	7251
538	8455	7231
539	8469	7214
540	8484	7198
541	8502	7184
542	8516	7167
543	8532	7152
544	8547	7135
545	8562	7119
546	8575	7102
547	8587	7083
548	8600	7064
549	8614	7048
550	8628	7030
551	8640	7012
552	8652	6994
553	8666	6976
554	8680	6959
555	8692	6941
556	8706	6924
557	8719	6906
558	8732	6889
559	8745	6871
560	8758	6853
561	8771	6835
562	8785	6819
563	8797	6801
564	8811	6784
565	8826	6767
566	8839	6750
567	8852	6732
568	8865	6715
569	8879	6698
570	8894	6682
571	8909	6666
572	8922	6649
573	8936	6632
574	8949	6614
575	8962	6597
576	8976	6580
577	8989	6562
578	9000	6544
579	9014	6527
580	9030	6512
581	9045	6496
582	9062	6482
583	9075	6464
584	9088	6447
585	9102	6430
586	9116	6413
587	9128	6396
588	9141	6379
589	9154	6361
590	9168	6345
591	9182	6328
592	9197	6312
593	9211	6295
594	9225	6279
595	9240	6263
596	9253	6246
597	9267	6229
598	9280	6212
599	9293	6195
600	9306	6178
601	9318	6160
602	9331	6143
603	9343	6125
604	9356	6108
605	9369	6091
606	9382	6074
607	9396	6058
608	9409	6041
609	9421	6023
610	9435	6007
611	9449	5990
612	9462	5973
613	9474	5956
614	9488	5939
615	9500	5922
616	9512	5905
617	9525	5888
618	9538	5870
619	9550	5853
620	9564	5837
621	9577	5820
622	9590	5803
623	9602	5786
624	9615	5769
625	9629	5753
626	9643	5736
627	9659	5722
628	9672	5705
629	9685	5688
630	9696	5670
631	9708	5653
632	9720	5636
633	9734	5619
634	9746	5602
635	9758	5585
636	9772	5568
637	9785	5552
638	9799	5536
639	9811	5518
640	9822	5501
641	9835	5484
642	9848	5468
643	9865	5453
644	9878	5437
645	9891	5420
646	9904	5404
647	9919	5388
648	9932	5371
649	9944	5354
650	9956	5337
651	9969	5321
652	9983	5304
653	9996	5288
654	10009	5272
655	10021	5254
656	10034	5238
657	10047	5222
658	10060	5205
659	10075	5190
660	10089	5174
661	10104	5159
